번호,서명,저자,발행자,발행년,책수,단가,금액
51,미래가 온다 스마트 시티,김성화,와이즈만 Books,2021,2,"\13,000","26,000"
52,나는 제주 건축가다  : 제주 현상과 제주 건축의 미래,김형훈,나무발전소,2021,2,"\16,000","32,000"
53,장준우의 푸드 오디세이,장준우 지음,북앤미디어디엔터,2021,1,"\16,000","16,000"
54,위기인가? 삼성하라!,윤성혁 지음,봄빛서원,2021,1,"\17,000","17,000"
55,7개 코드로 읽는 유럽 소도시,윤혜준 지음,아날로그,2022,1,"\17,000","17,000"
56,할 수 밖에 없는 말,로저 올모스 지음,삽화가들의사랑방,2020,1,"\29,800","29,800"
57,미술관에 갑니다,미리엄 엘리아,열화당,2021,1,"\10,000","10,000"
58,지리의 쓸모  : 새내기 지리 덕후를 위한 '진짜' 한국지리 이야기,전국지리교사모임 지음,한빛라이프,2021,2,"\18,800","37,600"
59,공간 웹,가브리엘 르네,에이콘,2021,1,"\20,000","20,000"
60,더 빅 원,신문범 지음,클라우드나인,2021,1,"\17,000","17,000"
61,(초등 매일 글쓰기의 힘) 생각글쓰기,이은경 지음,상상아카데미,2021,1,"\9,000","9,000"
62,(초등 매일 글쓰기의 힘) 책읽고쓰기  저학년용,이은경 지음,상상아카데미,2021,1,"\9,000","9,000"
63,(초등 매일 글쓰기의 힘) 책읽고쓰기  고학년용,이은경 지음,상상아카데미,2021,1,"\9,000","9,000"
64,(자기 주도 공부가 시작되는) 초등 매일 습관 익힘책  : 저학년 학부모용,이은경 지음,다락원,2021,1,"\15,800","15,800"
65,(자기 주도 공부가 시작되는) 초등 매일 습관 익힘책  : 고학년 학부모용,이은경 지음,다락원,2021,1,"\15,800","15,800"
66,뒤틀린 집,전건우 지음,안전가옥,2021,1,"\13,000","13,000"
67,지금부터 낚시질을 시작합니다,염유창 지음,스윙테일,2021,1,"\15,800","15,800"
68,혼숨  : 혼자하는 숨바꼭질,전건우,북오션,2021,1,"\15,000","15,000"
69,삼개주막 기담회 . 2,오윤희 지음,고즈넉이엔티,2021,1,"\15,000","15,000"
70,흔한 남매 . 9,흔한남매 원작,아이세움,2021,2,"\13,500","27,000"
71,중독가족 회복교실,광주서구중독관리통합지원센터 엮음,신정,2017,1,"\10,000","10,000"
72,중독환자 가족을 위한 완벽한 가이드,토머스 F. 해리슨,하나醫學社,2020,1,"\22,000","22,000"
73,사랑하는 사람이 정신질환을 앓고 있을 때,리베카 울리스 지음,서울의학서적,2020,1,"\18,000","18,000"
74,나는 정신장애 아들을 둔 아버지입니다,설운영 지음,센세이션,2021,1,"\15,000","15,000"
75,파네지릭,기 드보르 지음,필로소픽,2021,1,"\15,000","15,000"
76,(상상초월) 포켓몬 과학 연구소 . 2,야나기타 리카오 지음,아울북,2017,2,"\10,000","20,000"
77,(상상초월) 포켓몬 과학 연구소 . 3,야나기타 리카오 지음,아울북,2018,2,"\10,000","20,000"
78,(상상초월) 포켓몬 과학 연구소 . 4,야나기타 리카오 지음,아울북,2017,2,"\10,000","20,000"
79,난 삼백 살 먹은 떡갈나무야!,제르다 뮐러 지음,비룡소,2020,1,"\14,000","14,000"
80,느낌표,에이미 크루즈 로젠탈 지음,천개의바람,2021,1,"\13,000","13,000"
81,다 같은 나무인 줄 알았어,김선남 지음,그림책공작소,2021,1,"\16,000","16,000"
82,나무 속의 나무 집,존 클라센 그림,시공주니어,2021,1,"\13,000","13,000"
83,송나라의 슬픔,샤오젠성 지음,글항아리,2021,1,"\29,000","29,000"
84,변방의 인문학,윤태옥 지음,시대의창,2021,1,"\19,800","19,800"
85,공정의 배신  : 능력주의에 갇힌 한국의 공정,장은주 지음,피어나,2021,1,"\18,000","18,000"
86,마르크스와 함께 푸코를  : 메타구조란 무엇인가,자크 비데 지음,생각의힘,2021,1,"\27,000","27,000"
87,신이 된 항해자  : 21세기 말레이 세계의 정화 숭배,강희정,국립아시아문화전당,2021,1,"\16,000","16,000"
88,"전통, 조약, 장사  : 청 제국주의와 조선 1850-1910",커크 W. 라슨 지음,모노그래프,2021,1,"\29,000","29,000"
89,(문방구TV) 방구는 못 말려 . 1  방귀영웅 문방구,문방구TV 원작,서울문화사,2021,1,"\13,000","13,000"
90,(신비아파트) 맞혀라! 대결 퀴즈왕,서울문화사 편집부 편,서울문화사,2021,1,"\13,000","13,000"
91,사자성어 천재가 되다! . 4,Mr. Sun 어학연구소 지음,Old Stairs(올드 스테이어즈),2021,1,"\12,000","12,000"
92,권력과 언론  : 기레기 저널리즘의 시대,박성제 지음,창비,2017,1,"\16,000","16,000"
93,그날 저녁의 불편함  : 마리커 뤼카스 레이네펠트 장편소설,마리커 뤼카스 레이네펠트 지음,비채,2021,1,"\15,800","15,800"
94,소마  : 채사장 장편소설,채사장 지음,whale book,2021,3,"\15,000","45,000"
95,요리하는 이순신  : 김온 장편동화,김온 지음,책읽는곰,2019,1,"\11,000","11,000"
96,아이가 공부에 빠져드는 순간,유정임 지음,심야책방,2021,2,"\16,000","32,000"
97,건방이의 초강력 수련기  : season 2 . 4  파란 마스크,천효정 글,비룡소,2021,3,"\11,000","33,000"
98,버지니아 울프의 정원  : 몽크스 하우스의 정원 이야기,캐럴라인 줍 지음,봄날의책,2020,1,"\28,000","28,000"
99,"고양이 맙소사, 소크라테스!  : 산책길에 만난 냥도리 인문학",박홍순 글,비아북,2022,1,"\17,000","17,000"
100,티에르탕의 베케트,멜리스 베스리 지음,뮤진트리,2021,1,"\15,000","15,000"
101,이 나날의 돌림노래,사사키 아타루 지음,여문책,2018,1,"\17,000","17,000"
102,거식증 일기,발레리 발레르 지음,아도니스출판,2020,1,"\15,000","15,000"
103,사랑하는 아내가 정신병원에 갔다,마크 루카치 지음,걷는나무,2019,1,"\14,000","14,000"
104,신개념 속독법,사이토 에이지 지음,알파미디어,2021,1,"\14,000","14,000"
105,왓처  = WATCHER,윤석준 지음,왓칭하우스,2019,1,"\15,800","15,800"
106,(흔한남매) 별난 방탈출 . 4,흔한남매 원작,아이세움,2021,2,"\12,800","25,600"
107,송아지와 바꾼 무,김온유 지음,봄볕,2019,1,"\10,000","10,000"
108,(한 권으로 읽는 우리 옛이야기 36편) 교과서 전래 동화,이상교 엮음,아이세움,2018,1,"\15,000","15,000"
109,"1964년, 어느 종교 이야기",조성윤 지음,당산서원,2020,1,"\15,000","15,000"
110,"이제는 대기업이 아니라 강소기업이다  : ""성공 직업의 길, 이제는 '진짜 일'을 하라""",손영배 지음,생각비행,2021,1,"\16,000","16,000"
111,나는 독서재테크로 월급 말고 매년 3천만원 번다,안명숙 지음,위닝북스,2019,1,"\15,000","15,000"
112,(나를 사랑하게 되는 자존감 회복) 글쓰기 훈련,주이슬 [외] 지음,미다스북스,2021,1,"\15,000","15,000"
113,내 인생을 바꾼 감사의 힘,대니 리 지음,미다스북스,2021,1,"\15,000","15,000"
114,이러다 정말 죽을 것 같아서 책쓰기를 시작했다,김경화 [외] 지음,미다스북스,2021,1,"\15,000","15,000"
115,코딩맨 엔트리  : 히어로 액션 코딩 학습 만화 . 1  버그킹덤의 차원 침략,송아론,다산어린이,2019,1,"\12,000","12,000"
116,코딩맨 엔트리  : 히어로 액션 코딩 학습 만화 . 2  히어로의 탄생,송아론,다산어린이,2019,1,"\12,000","12,000"
117,코딩맨 엔트리  : 히어로 액션 코딩 학습 만화 . 3  초보 유저,K프로덕션 글,다산어린이,2019,1,"\12,000","12,000"
118,코딩맨 엔트리  : 히어로 액션 코딩 학습 만화 . 4  다시 열린 문,K프로덕션 글,다산어린이,2019,1,"\12,000","12,000"
119,(그 옛날에 이런 생각을?!) 전통과학,정재은 글,지학사아르볼,2020,1,"\11,000","11,000"
120,내일도 발레  : 오민영 장편동화,오민영 지음,별숲,2021,1,"\11,500","11,500"
121,너의 특별한 점,이달 글,달달Books,2021,1,"\14,000","14,000"
122,아이 틴더 유  : 정대건 소설,정대건 지음,자음과모음,2021,1,"\12,000","12,000"
123,어쩌다 13년째 영어학원을 하고 있습니다  : 영알못 원장의 학원시장에서 살아남기,문윤선 지음,사이다,2019,1,"\15,000","15,000"
124,"학원 경영, 당신을 사게 하라  : 베테랑 영어학원 원장의 20년 노하우",김민선 지음,프로방스,2020,1,"\15,000","15,000"
125,크루아상 사러 가는 아침  : 필리프 들레름 에세이,필리프 들레름 지음,문학과지성사,2021,1,"\12,000","12,000"
126,"모녀의 세계  : 사랑한 만큼 상처 주고, 가까운 만큼 원망스러운",김지윤 지음,은행나무,2021,1,"\15,000","15,000"
127,어느 날 아이가 스스로 공부하기 시작했다  : 아이의 공부 습관을 바꾸는 부모의 힘,임영주 지음,교보문고,2021,1,"\15,800","15,800"
128,방귀의 1초 인생,말린 클링엔베리 지음,창비,2021,1,"\13,000","13,000"
129,와! 여름 캠프다,마틸드 퐁세 지음,우리학교,2021,1,"\13,000","13,000"
130,뭐라고 불러야 해?,천준형 글·그림,달그림,2021,1,"\16,000","16,000"
131,(망가진 책에 담긴 기억을 되살리는) 어느 책 수선가의 기록,재영 책수선 지음,위즈덤하우스,2021,1,"\16,000","16,000"
132,한 게으른 시인의 이야기,최승자 지음,난다,2021,1,"\13,000","13,000"
133,상아의 문으로,구병모 지음,문학과지성사,2021,3,"\14,000","42,000"
134,최소한의 선의,문유석 지음,문학동네,2021,2,"\15,000","30,000"
135,편지 공화국,앤서니 그래프턴 지음,21세기북스,2021,1,"\38,000","38,000"
136,(1일 1강) 논어 강독  : 오두막에서 논어를 읽다,박재희 지음,김영사,2020,1,"\19,800","19,800"
137,심리 읽어드립니다  : 불안 초조 우울 분노... 얽히고설킨 마음,김경일,한빛비즈,2021,1,"\17,500","17,500"
138,보이지 않는 것에 의미가 있다  : 영화가 묻고 심리학이 답하다,김혜남 지음,포르체,2021,2,"\16,000","32,000"
139,팀 버튼의 위대한 세계  : 크리스마스의 악몽 제조자와 특별한 존재들의 탄생,이레네 말라 글·그림,바둑이 하우스,2021,1,"\32,000","32,000"
140,Lost  : 길 잃은 날의 기적,샘 어셔 글·그림,주니어RHK,2021,1,"\13,000","13,000"
141,벼랑 위의 집  : 아서와 선택된 아이들,TJ 클룬 글,든,2021,3,"\18,000","54,000"
142,돈은 없어도 떠나고는 싶었다,이해성 지음,북랩,2021,1,"\18,000","18,000"
143,쿠키런 킹덤  : 퀴즈 원정대 . 1,최재훈 지음,아이세움,2021,1,"\13,000","13,000"
144,달콩이네 떡집,김리리 지음,비룡소,2021,5,"\11,000","55,000"
145,이순신의 바다,황현필 지음,역사바로잡기연구소,2021,1,"\22,000","22,000"
146,스님은 아직도 사춘기,명진 지음,평화의길,2022,2,"\15,000","30,000"
147,성공한 사람들의 기상 후 1시간  : 성공한 사람들은 아침 시간을 운에 맡기지 않는다,벤자민 스폴,센시오,2021,1,"\16,000","16,000"
148,모범생의 생존법  : 황영미 장편소설,황영미 지음,문학동네,2021,2,"\11,500","23,000"
149,마법 숲 탐정 . 4  달빛 극장 귀신 소동,선자은 글,슈크림북,2021,1,"\12,000","12,000"
150,쿠키런 킹덤스쿨  : 부자되기 습관 경제 학습만화 . 3  직업 쿠키 vs 백수 쿠키,김언정 글,서울문화사,2021,1,"\13,000","13,000"
151,(신비아파트) 한자 귀신 . 18  불길한 방울 소리,김강현 지음,서울문화사,2021,1,"\11,000","11,000"
152,쿠키런 킹덤  : 오리지널 레벨업 코믹북 . 4  순례자의 길 상편,김강현 글,서울문화사,2021,1,"\13,000","13,000"
153,"밍꼬발랄 코믹스 . 13  가자, 집으로",밍꼬발랄 원작,겜툰,2021,2,"\12,000","24,000"
154,(개념연결) 유아수학사전,전국수학교사모임 유아수학사전팀 지음,비아에듀,2021,1,"\25,000","25,000"
155,(13년차 교사맘의 우리 아이 생애 첫 도서관 육아) 캐리어 책육아,최애리 지음,마더북스,2020,1,"\14,800","14,800"
156,노션 Notion  : 업무와 일상을 정리하는 새로운 방법,전시진,제이펍,2020,1,"\18,000","18,000"
157,일잘러의 노션 100% 활용법  : 내 업무와 일상생활에 딱 맞는 나만의 노션 템플릿 만들기,제레미 강 지음,위키북스,2021,1,"\16,000","16,000"
158,말을 캐는 시간  : 윤혜숙 장편소설,윤혜숙 지음,서해문집,2021,1,"\11,900","11,900"
159,오늘은 여기까지 착할게요,왕수펀 글,다림,2021,1,"\11,000","11,000"
160,귤의 맛  : 조남주 장편소설,조남주 지음,문학동네,2020,1,"\11,500","11,500"
161,사람을 보면 안전이 보인다,이성호 지음,박영사,2022,1,"\16,000","16,000"
162,반사경,뤼스 이리가레 지음,꿈꾼문고,2021,1,"\25,000","25,000"
163,빛의 얼굴들  : 빛을 조명하는 네 가지 인문적 시선,조수민 지음,을유문화사,2021,1,"\16,000","16,000"
164,어차피 우린 죽고 이딴 거 다 의미 없겠지만  : 그럼에도 사소하지 않은 나의 일상에 대하여,사치 코울 지음,문학과지성사,2021,1,"\14,000","14,000"
165,오늘은 예쁜 걸 먹어야겠어요  : 박서련 일기,박서련 지음,작가정신,2021,1,"\14,800","14,800"
166,(수학 원리를 제대로 배운 아이는) 쉽게 계산합니다  : 수학에 강한 아이를 만드는 독일 교과서식 사칙연산 곱셈구구,차지혜 지음,블루무스,2022,2,"\16,500","33,000"
167,화난 책,세드릭 라마디에 글,길벗어린이,2017,1,"\11,000","11,000"
168,(주석으로 쉽게 읽는) 고정욱 삼국지 . 1  일어서는 영웅들,고정욱 평역,애플북스,2022,2,"\14,800","29,600"
169,초등 매일 독서의 힘  : '읽는 중학생'을 만드는 초등의 책 읽기,이은경 지음,한빛라이프,2022,1,"\17,000","17,000"
170,꿈을 굽는 빵집,김희선 글·그림,계수나무,2021,1,"\13,000","13,000"
171,찾았다!,살리나 윤 글·그림,비룡소,2018,2,"\11,000","22,000"
172,English for everyday activities  일상표현 낭독편,Lawrence J. Zwier,Compass Publishing,2021,1,"\14,000","14,000"
173,별별 빵집의 초콜릿 씨앗,고마 글·그림,국민서관,2017,1,"\11,000","11,000"
174,학교가 괴물로 가득 찬 날,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
175,3학년 2반 얼짱소동,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
176,아빠 게임 그만해!,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
177,또다시 학교가 괴물로 가득 찬 날,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
178,모비딕,허먼 멜빌 지음,작가정신,2019,1,"\22,000","22,000"
179,쓰면 반드시 이뤄지는 기적의 만다라트,하라다 다카시,책비,2020,1,"\14,000","14,000"
180,실컷 울고나니 배고파졌어요,전대진 지음,넥서스books,2021,2,"\15,000","30,000"
181,파자마 필라테스,마리아 맨킨 지음,콤마,2021,1,"\15,000","15,000"
182,멸망 이전의 샹그릴라,나기라 유 지음,한스미디어,2021,1,"\15,800","15,800"
183,므레모사,김초엽 지음,현대문학,2021,1,"\14,000","14,000"
184,성경이 성경을 읽다  : 모세오경,남상화 지음,킹덤북스,2021,1,"\20,000","20,000"
185,"성경이 성경을 읽다  : 역사서, 지혜서, 시가서",남상화 지음,킹덤북스,2021,1,"\25,000","25,000"
186,성경이 성경을 읽다  : 선지서,남상화 지음,킹덤북스,2021,1,"\25,000","25,000"
187,나의 첫 메타버스 수업  : 메타버스가 궁금한 사람이라면 꼭 알아야 할 50가지,이재원 지음,메이트북스,2021,1,"\18,500","18,500"
188,된다! 스마트 워크를 위한 구글 업무 활용법  = Gotcha! how to use Google for smart work,이광희 지음,이지스퍼블리싱,2021,1,"\18,000","18,000"
189,복지국가는 살아남을 수 있는가,앤드루 갬블 지음,한울아카데미,2021,1,"\22,000","22,000"
190,비만백서  : 비만을 둘러싼 진실과 거짓말,앤서니 워너 지음,Bronstein,2021,1,"\24,000","24,000"
191,"히든 해빗  : 재능, IQ, 그릿, 운, 환경에 숨어 있는 천재의 비밀",크레이그 라이트 지음,청림출판,2021,1,"\18,000","18,000"
192,"개장 전, 아직 켜지지 않은 모니터 앞에서  : 자신이 되고자 했던 시간의 기록",강민우 지음,이레미디어,2021,1,"\16,000","16,000"
193,파워 오브 도그,토머스 새비지 지음,민음사,2021,1,"\17,000","17,000"
194,닥터 지바고 . 1,보리스 파스테르나크 지음,문학동네,2018,1,"\13,500","13,500"
195,닥터 지바고 . 2,보리스 파스테르나크 지음,문학동네,2018,1,"\14,500","14,500"
196,"소능력자들 . 5  출동, 소벤저스!",김하연 지음,마술피리,2021,1,"\11,000","11,000"
197,(참전 수병 유교수와 함께가는) 베트남 역사문화기행,유일상 지음,하나로애드컴,2021,1,"\27,000","27,000"
198,인도는 그랬었지,이준학 지음,북랩,2021,1,"\16,000","16,000"
199,인도 네팔 순례기,각전 지음,민족사,2021,1,"\38,000","38,000"
200,상상된 공동체,베네딕트 앤더슨 지음,길,2019,1,"\28,000","28,000"
201,1등급 공부법,신영환 지음,서사원,2021,1,"\16,800","16,800"
202,중학영문법 총정리 한권으로 끝내기,허준석,쏠티북스,2018,1,"\15,000","15,000"
203,"수학, 개념 씹어 먹고 공부 해봤니?",조안호 지음,시공사,2022,1,"\16,000","16,000"
204,초등어휘력이 공부력이다,박명선 지음,한빛라이프,2021,1,"\18,000","18,000"
205,하루공부 365,상상스퀘어 출판팀,상상스퀘어,2021,1,"\19,800","19,800"
206,"순한 맛, 매운 맛 매생이 클럽 아이들  : 어린이를 위한 글쓰기 교육 동화",이은경 글,한국경제신문,2021,3,"\15,000","45,000"
207,사회를 달리는 십대  : 사회·문화,황정숙,우리학교,2021,1,"\14,000","14,000"
208,(마음이 따뜻해지는) 학교 이야기  : 배움과 미래의 희망을 주는 세계의 학교들,박영주 글,썬더키즈,2021,1,"\13,000","13,000"
209,(누구든지 환영해) 괴짜 클럽,조르디 시에라 이 파브라 지음,우리교육,2021,1,"\12,000","12,000"
210,드라큘라씨 괴물들을 부탁해!,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
211,봉구와 불량 산타,강경수 글ㆍ그림,위즈덤하우스,2021,1,"\12,000","12,000"
212,스토리의 기술  : 감정 전달 게임에서 승리하는 법,피터 거버 지음,라이팅하우스,2021,1,"\17,000","17,000"
213,(후다닥 쌤의) 후다닥 간편 요리  : 후다닥의 쉽고 맛있는 집밥 레시피 103,김연정 지음,리스컴,2021,1,"\16,000","16,000"
214,도시곳간 반찬 이야기  : 미슐랭 셰프의 조리 비법과 시골 농부의 재료로 만드는 건강한 밑반찬 116가지!,민요한 지음,서사원,2021,1,"\17,500","17,500"
215,진짜 게으른 사람이 쓴 게으름 탈출법  : 이 모든 것은 인생이 망할 것 같다는 위기감에서 시작됐다!,지이 지음,마인드빌딩,2020,1,"\10,800","10,800"
216,티나의 종이집,김개미 시,천개의바람,2021,1,"\12,000","12,000"
217,롤라는 친구들을 정말 사랑해,케네스 라이트 글,국민서관,2020,1,"\12,000","12,000"
218,롤라는 못 말려,케니스 라이트 글,국민서관,2020,1,"\12,000","12,000"
219,괴물원,junaida 지음,비룡소,2021,1,"\13,000","13,000"
220,먼 여행,피터 반 덴 엔데 지음,보물창고,2021,1,"\22,000","22,000"
221,직선과 곡선,데보라 보그릭 글,브와포레,2021,1,"\22,000","22,000"
222,집,린롄언 글ㆍ그림,밝은미래,2021,1,"\13,000","13,000"
223,20세기 영국시,앤서니 스웨이트 지음,동인,2020,1,"\16,000","16,000"
224,루바이야트,오마르 하이얌,지식을만드는지식,2019,1,"\12,800","12,800"
225,햇살은 물에 들기 전 무릎을 꿇는다  : 김정숙 시집,김정숙 지음,책나물,2021,2,"\13,000","26,000"
226,비겁한 돈  : 결국 용기 있는 기회주의자가 부를 얻는다,황현희,한빛비즈,2021,1,"\16,000","16,000"
227,번역하는 마음  : 서라미 인터뷰집,서라미 지음,제철소,2021,1,"\16,000","16,000"
228,딱 2년 안에 무조건 돈 버는 부동산 투자 시크릿  : 3천만원으로 3년 만에 50억을 만든 지역분석 고수 세빛희의 투자 비결,김세희 지음,비즈니스북스,2021,1,"\17,500","17,500"
229,"보통의 것이 좋아  : 나만의 보폭으로 걷기, 작고 소중한 행복을 놓치지 말기",반지수 지음,위즈덤하우스,2021,1,"\14,800","14,800"
230,이제는 조금 알 것도 같고  : 900일간의 여정이 내게 알려준 것들,정은애 글·사진,Bookers,2021,1,"\17,000","17,000"
231,쉿! 안개초등학교  : 보린 동화 . 2  도망발의 주인,보린 지음,창비,2021,3,"\12,000","36,000"
232,임포스터  = Impostor  : 가면을 쓴 부모가 가면을 쓴 아이를 만든다,리사 손 지음,21세기북스,2022,1,"\18,000","18,000"
233,여섯 명의 거짓말쟁이 대학생,아사쿠라 아키나리 지음,Book Plaza,2021,1,"\16,000","16,000"
234,101마리 달마시안,도디 스미스 글,미운오리새끼,2018,1,"\13,000","13,000"
235,지구 애들은 이상해,크리스 카터 글,미운오리새끼,2018,1,"\13,000","13,000"
236,그것들의 경매  : 늘 엄청난 수익을 내는 경매 고수들만의 비밀,박재석 지음,온짱,2021,1,"\18,000","18,000"
237,밀회  : 윌리엄 트레버 소설,윌리엄 트레버 지음,한겨레출판,2021,1,"\14,000","14,000"
238,여성과 광기,필리스 체슬러 지음,위고,2021,1,"\28,000","28,000"
239,팔리는 책쓰기 망하는 책쓰기  : 출판 27년 차 베테랑이 알려주는 팔리는 책쓰기의 모든 것 . 2  실전 테크닉 편,장치혁 지음,서사원,2021,1,"\19,800","19,800"
240,손글씨 레시피,나인 지음,시월,2021,1,"\16,000","16,000"
241,1일 1분 시력운동  : 맑고 선명한 눈을 위한 초간단 아이 스트레칭,야마구치 고조 지음,포레스트북스,2021,1,"\14,000","14,000"
242,요리하는 돼지 쿡,이순진 글,해와나무,2018,1,"\9,500","9,500"
243,카페에서 공부하는 할머니  : 인생이라는 장거리 레이스를 완주하기 위한 매일매일의 기록,심혜경 지음,더퀘스트,2022,1,"\11,200","11,200"
244,평범한 인생  : 카렐 차페크 장편소설,카렐 차페크 지음,열린책들,2021,1,"\12,800","12,800"
245,세대주 오영선  : 최양선 장편소설,최양선 지음,사계절,2021,1,"\12,000","12,000"
246,족구의 풍경  : 오수완 장편소설,오수완 지음,위즈덤하우스,2021,1,"\13,000","13,000"
247,연이와 버들 도령,백희나 [지음],책읽는곰,2022,1,"\18,000","18,000"
248,누가 나르시시스트일까?,피에르 페주 지음,돌배나무,2020,1,"\9,000","9,000"
249,국어시간에 세계단편소설읽기 . 1,전국국어교사모임 엮음,Humanist,2020,1,"\12,000","12,000"
250,기회의 문 메타버스  : 메타버스라는 기회의 문에 열쇠가 되어줄 책,최재용,미디어북,2021,1,"\20,000","20,000"
